Team Number,Match,AC1T,AC1,AC2T,AC2,AC3T,AC3,AC4T,AC4,AARL,AARH,AAP,AAB,AM,TC1T,TC1,TC2T,TC2,TC3T,TC3,TC4T,TC4,TARL,TARH,TAP,TAB,EP,Auton Coral L 1,Auton Coral L 2,Auton Coral L3,Auton Coral L 4,Auton Algae Process,Auton Algae Barge,Auton Points,Teleop Coral L 1,Teleop Coral L2,Teleop Coral L3,Teleop Coral L4,Teleop Algae Barged,Teleop Algae Processed,Teleop Algae Barged HP,Parked Endgame,Teleop Points,% L1,% L2,% L3,% L4,Points Total,Deep Climb,Shallow Climb,Breaking,Auton Coral L1 Rate,Auton Coral L2 Rate,Auton Coral L3 Rate,Auton Coral L4 Rate,Defense,Teleop Coral L1 Rate,Teleop Coral L2 Rate,Teleop Coral L3 Rate,Teleop Coral L4 Rate,Auton Algae Removed,Algae Teleop Removed,Total Auton Coral Success,Total Teleop Coral Sucess,Algae Capability,Auton Coral Attempt,Teleop Coral Attempt
2181,32,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,7,5,0,0,0,0,3,FALSE,FALSE,FALSE,7,0,0,7,0,0,0,25,0,0,0,6,31,0%,0%,0%,100%,38,1,0,0,FALSE,FALSE,FALSE,100%,0,FALSE,FALSE,FALSE,71%,0,0,1,5,0,1,7
7619,33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,5,0,0,0,2,7,0%,0%,0%,100%,7,0,0,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,FALSE,100%,0,1,FALSE,1,1,0,1
5653,33,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6,6,1,2,0,0,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,0,30,0,0,0,2,32,0%,0%,0%,100%,32,0,0,0,FALSE,FALSE,FALSE,0%,0,FALSE,FALSE,FALSE,100%,0,3,0,6,3,1,6
7797,33,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,3,3,0,0,0,0,0,0,3,0,FALSE,FALSE,0,0,0,0,0,3,12,0,0,0,0,6,21,20%,20%,60%,0%,21,1,0,0,0%,FALSE,FALSE,FALSE,0,FALSE,100%,100%,FALSE,0,0,0,4,0,1,4
4741,33,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,6,3,0,0,0,0,1,FALSE,FALSE,FALSE,0,0,0,0,0,0,4,15,0,0,0,2,21,0%,0%,14%,86%,21,0,0,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,FALSE,100%,50%,0,0,FALSE,4,0,0,7
4656,33,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,1,4,4,0,0,0,3,0,0,3,FALSE,4,FALSE,0,0,0,4,0,3,16,0,0,0,0,6,25,0%,33%,67%,0%,29,1,0,0,FALSE,100%,FALSE,FALSE,0,FALSE,100%,100%,FALSE,0,3,1,5,2,1,5
2654,33,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,2,0,0,0,2,2,0,0,0,0,3,0,FALSE,FALSE,7,0,0,7,0,0,0,10,0,0,0,6,16,20%,40%,0%,40%,23,1,0,0,0%,FALSE,FALSE,FALSE,0,FALSE,0%,FALSE,100%,0,0,1,2,0,1,4
1306,34,0,0,0,0,0,0,1,1,0,0,0,0,1,6,6,1,0,0,0,0,0,0,0,0,0,0,FALSE,FALSE,FALSE,7,0,0,7,12,0,0,0,0,0,0,0,12,75%,13%,0%,13%,19,0,0,1,FALSE,FALSE,FALSE,100%,0,100%,0%,FALSE,FALSE,0,0,1,6,0,1,7
876,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,5,4,2,1,0,0,1,FALSE,FALSE,FALSE,0,0,0,0,0,6,4,20,0,0,0,2,32,0%,25%,13%,63%,32,0,0,0,FALSE,FALSE,FALSE,FALSE,0,FALSE,100%,100%,80%,0,3,FALSE,7,3,0,8
1619,34,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,4,3,5,5,6,5,0,0,0,0,3,FALSE,FALSE,FALSE,14,0,0,14,0,9,20,25,0,0,0,6,60,0%,22%,28%,50%,74,1,0,0,FALSE,FALSE,FALSE,67%,0,FALSE,75%,100%,83%,0,0,2,13,0,3,15
